Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
8911,556,Mrs Fatima Ali Sheriff Maternity Clinic Magumeri,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Magumeri,Borno,POINT (916559.7332658982 1342214.5438537826),Valid,POINT (12.82561699960536 12.115202999912412)
31481,557,Dala Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (946074.9551126559 1309037.5443188841),Valid,POINT (13.091702000397616 11.812070999948503)
23962,558,Bulabulin Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950946.5879115645 1314507.296205917),Valid,POINT (13.137050000209456 11.86076000003038)
113583,559,Yerwa Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953076.8480679252 1312938.4070596306),Valid,POINT (13.156343000318145 11.846323000221101)
8352,560,Banki Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1062918.893457326 1248447.4763455375),Valid,POINT (14.150776999989317 11.248910000307033)
630,561,Zowo Model Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gubio,Borno,POINT (906363.5146605719 1400900.6122640432),Valid,POINT (12.739660000201638 12.646049999598006)
27900,562,Jiddari Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (952024.6714825783 1307176.5189617653),Valid,POINT (13.145925000239572 11.794494000005725)
8782,563,Gongu Along Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (956283.9617248662 1321132.0589970984),Valid,POINT (13.186840000039409 11.919790000138503)
26649,564,Gajiram Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (958278.7189014794 1384771.2007490017),Valid,POINT (13.214189999622421 12.493459999920274)
2268,565,Gasarawa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (970776.2581117154 1398696.0286172482),Valid,POINT (13.330989999982537 12.617199999995819)
1198,566,Borno Yesu Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (889653.4185552571 1359310.53882373),Valid,POINT (12.580936000356134 12.272800999992853)
444,567,Ardimini Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (889415.2889227701 1386573.7392437789),Valid,POINT (12.582113000155855 12.51889000019878)
645,568,Dunga Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (924578.730762562 1387713.1424300696),Valid,POINT (12.905219999691836 12.524670000126036)
190,569,Damoram Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (955449.6338207917 1388866.5068312734),Valid,POINT (13.18882000038474 12.530800000291038)
1726,570,Walama Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (824555.3208399959 1138297.8239115302),Valid,POINT (11.962756000331867 10.283872999609741)
7346,571,Jakana Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (910817.7356516558 1311877.1869073678),Valid,POINT (12.769160000245448 11.842170000399333)
581,572,Gazabure Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (914235.0749414836 1429107.856951854),Valid,POINT (12.815809999941962 12.899529999825743)
12528,573,Mairi Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (956626.8040722825 1309095.106620869),Valid,POINT (13.188320000044996 11.811180000343086)
2806,574,Mairari Adambi Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (982597.0047143246 1406059.3647559918),Valid,POINT (13.44066000049816 12.681799999888481)
17018,575,Sabon Gari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (878000.5639317852 1197248.6037279714),Valid,POINT (12.456010000000047 10.811240000000053)
682,576,Zari Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (905456.4796044007 1449782.2585286165),Valid,POINT (12.73786000000007 13.087250000000038)
3728,577,Kaya Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (925625.9398147163 1220513.9950484482),Valid,POINT (12.893520000000025 11.015990000000045)
5715,578,Husara Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (963929.8670615742 1162038.2027218752),Valid,POINT (13.235900879000042 10.48388671900005)
971,579,Kuma Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (959660.2653694842 1154440.8968748276),Valid,POINT (13.196068780000076 10.415876240000044)
11270,580,Bwala Eyn Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (864328.5889515318 1162834.4148540588),Valid,POINT (12.327778665038345 10.501892676238848)
4793,581,Vlinic Hospital,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1036181.189348007 1377976.7981438127),Valid,POINT (13.92767334000007 12.420104980000076)
300,582,Kafa Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (879797.7968479623 1252201.5499184993),Valid,POINT (12.47827148400006 11.307128906000058)
24515,583,Dikwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1036691.8054571818 1335092.4581411267),Valid,POINT (13.9251795200971 12.033649138473898)
1269,584,Ngubala Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (884588.9746250248 1378376.6850708986),Valid,POINT (12.536771000348098 12.445493000328954)
625,585,Kumlia Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (985935.325250754 1391626.6724576426),Valid,POINT (13.469049999787842 12.551170000131489)
25925,586,Monguno General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Monguno,Borno,POINT (1000567.4606002286 1406687.664991852),Valid,POINT (13.605749999669056 12.684649999824895)
1322,587,Debele Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1001232.8838327469 1384115.7112805946),Valid,POINT (13.608220000347329 12.481089999515458)
395,588,Yoyo Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1004116.2376487872 1410000.3726823418),Valid,POINT (13.638870000172576 12.713939999726108)
21351,589,Nicefa Hospital,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1065818.4708392578 1373265.5286673976),Valid,POINT (14.198440000374092 12.372589999794796)
21812,590,Capro Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1065812.8873611386 1373551.9044331764),Valid,POINT (14.19844000037409 12.37516999954778)
3768,591,Kumshe Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1069138.95495894 1260423.6671833517),Valid,POINT (14.209480999875893 11.35577999992017)
1616,592,Kukawa General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Kukawa,Borno,POINT (997257.0273098699 1433381.518239748),Valid,POINT (13.579709999976105 12.92578999966821)
343,593,Nairawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1025929.0677336445 1401971.547826765),Valid,POINT (13.83773000028856 12.63801000013524)
4601,594,28 Housing Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (982741.0486624548 1291090.2487108686),Valid,POINT (13.424769999701653 11.645209999574263)
1111,595,Boboshe Maternity and Child Hospital,Unknown,Primary,Maternity Home,2020-07-04T13:49:18,Dikwa,Borno,POINT (1024506.1443228744 1309563.6478720095),Valid,POINT (13.80957000015519 11.805549999517778)
395,596,Koma Kaudi Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1107014.1300427958 1332491.4620947745),Valid,POINT (14.568030000493081 11.998120000360018)
5515,597,Marte Town Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Marte,Borno,POINT (1025248.84195041 1371871.5993826317),Valid,POINT (13.826439999617547 12.3668999999287)
493,598,Daima Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1112428.1971684578 1347878.9874148185),Valid,POINT (14.620420000089666 12.13560999977801)
2943,599,Ali Sheriffti Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1025248.6547073509 1420362.9184090083),Valid,POINT (13.834630000182244 12.803839999808929)
2428,600,Dabarmasara Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1026543.4014788182 1420191.9980970097),Valid,POINT (13.84648800023922 12.802080999613736)
1134,601,Aish Medical Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Magumeri,Borno,POINT (881756.4763972892 1327144.4668049517),Valid,POINT (12.50466 11.983399999999998)
6850,602,Chigom Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (794238.6334107701 1173511.1630245862),Valid,POINT (11.688961799999998 10.604413899999996)
18930,603,Likama Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Chibok,Borno,POINT (920383.7689576163 1204422.072181451),Valid,POINT (12.843766669999997 10.871394999999998)
454,604,Ardimini Baram Kuru Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (893238.3925468186 1380923.8120175593),Valid,POINT (12.61652201375354 12.467429238252452)
376,605,Ngetra Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gubio,Borno,POINT (900284.5202374901 1393807.4820643114),Valid,POINT (12.6828821 12.582819399999998)
8566,606,Kauwa Family Support Program,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1007540.7975772743 1436185.9513674777),Valid,POINT (13.67467499950038 12.949386999701233)
14029,607,Konduga Maternal and Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (981601.3456955298 1291965.263995257),Valid,POINT (13.414469999703272 11.653260000043874)
18134,608,Kwaya Kusar Town Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (810440.4919456469 1162000.8395103721),Valid,POINT (11.835950000173113 10.49913999987359)
948,609,Wandali Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (821938.6846492295 1168878.1489450661),Valid,POINT (11.941483999878528 10.560303000430961)
52978,610,University of Maiduguri Teaching Hospital,Functional,Tertiary,Teaching Hospital,2020-07-04T13:49:18,Jere,Borno,POINT (955728.2875452617 1310766.8160804128),Valid,POINT (13.180322999611406 11.826378999670109)
27030,611,Damasak Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Mobbar,Borno,POINT (880221.6918958133 1451422.6592025056),Valid,POINT (12.505750000270782 13.105319999650419)
3989,769,Dalori Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (959158.6460283904 1306296.1730610041),Valid,POINT (13.211113330000002 11.785593329999996)
20958,729,UNICEF Alpha Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Gwoza,Borno,POINT (1022864.4853527006 1244697.4877254562),Valid,POINT (13.784639700057367 11.22123579041285)
1469,730,EYN Fesingo Primary Health Center,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Kwaya Kusar,Borno,POINT (823149.1688342893 1146256.6869894688),Valid,POINT (11.9506017754004 10.355877217098195)
36734,731,Abbott Clinic and Maternity,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Biu,Borno,POINT (848933.860498837 1175956.5412911372),Valid,POINT (12.188539999741465 10.621830000235658)
10371,732,Bakasi Camp Clinic 3,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949287.8355404695 1306794.4052078007),Valid,POINT (13.120817 11.791412000000001)
10305,733,Bakassi Camp Clinic 1,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949283.6311521468 1306743.6780966062),Valid,POINT (13.12077167 11.790955)
10015,734,Bakassi Camp Clinic 2,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (948532.5417815697 1306383.0393990544),Valid,POINT (13.113846669999997 11.78780167)
29748,735,Gajiram Family Support Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (958099.593373073 1384162.1641664708),Valid,POINT (13.212456892209323 12.487993158929333)
19278,736,Fikayel Primary Health Care Center,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (786841.923929492 1168299.3593774193),Valid,POINT (11.62101500013489 10.557896999796183)
2924,737,Gwaskara Primary Health Care Center,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (844108.5118704652 1137712.6886702443),Valid,POINT (12.141017849999999 10.27690801)
684,738,Kauthlama Mbalala Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (915160.714546188 1189958.6150897031),Valid,POINT (12.79444100042275 10.74146799952405)
608,770,Gss Gwoza Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (983561.2273248659 1237995.4192904579),Valid,POINT (13.424840000000001 11.166359999999997)
1428,739,Izge Primary Health Care Center,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (970388.0092272324 1217476.4835522396),Valid,POINT (13.30183000016973 10.983069999681277)
1813,740,Korongillum Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (905141.1842348285 1202764.7328858601),Valid,POINT (12.704418 10.858149)
32828,741,Dikwa Maternity and Child Health Clinic,Functional,Primary,Maternity Home,2020-07-04T13:49:18,Dikwa,Borno,POINT (1036188.3112873393 1335086.8415364253),Valid,POINT (13.920569999574468 12.03367999952138)
8964,742,Mbalala Primary Health Center,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (923925.8506624909 1194267.1074058027),Valid,POINT (12.87492300010649 10.77935700026785)
32182,743,Bama Maternal and Child Health Care,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1011451.8805840235 1277301.9155475756),Valid,POINT (13.685259999692391 11.516770000305312)
403,744,Titiwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Magumeri,Borno,POINT (931455.8233495455 1347066.4665888837),Valid,POINT (12.962842999843987 12.157055000348919)
2452,745,Model Primary Health Care Center Shikarkir Temp,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Chibok,Borno,POINT (913113.1621540575 1196458.2454472487),Valid,POINT (12.776487 10.800351000000001)
2856,746,Primary Health Center Tungushe,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (943527.1640475446 1333859.8545331797),Valid,POINT (13.071716310000001 12.03631592)
30593,747,Maternal and Child Health Clinic Biu,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Biu,Borno,POINT (849147.9751317245 1175766.7907976902),Valid,POINT (12.19047667 10.62009667)
52988,748,State Specialist Hospital Maiduguri,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952380.1957852993 1312254.203777745),Valid,POINT (13.149870623234142 11.840245409601186)
6944,749,Unimaid Medical Center,Functional,Tertiary,Medical Center,2020-07-04T13:49:18,Jere,Borno,POINT (957642.3405563035 1308314.2581232274),Valid,POINT (13.197510000289185 11.804000000464614)
39066,750,Bolori Comprehensive Health Center,Functional,Primary,Comprehensive Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (949447.9006377802 1314155.3378880743),Valid,POINT (13.123277999852007 11.85778600000969)
8194,751,Njimtilo Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (937909.2732825954 1312976.0899235927),Valid,POINT (13.017449999999998 11.84867)
707,752,Wonori Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (971197.3636324559 1297997.0186908916),Valid,POINT (13.320140000000002 11.709099999999998)
11553,753,Wandali Eyn Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (823410.2545495327 1169838.3242047082),Valid,POINT (11.955000000062 10.568850000238228)
52002,754,Kanem Hospital,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952110.8965905382 1313686.4579906543),Valid,POINT (13.147600000377679 11.853199999893713)
2757,755,Jaragol Eyn Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bayo,Borno,POINT (787488.4338047055 1131495.9853469718),Valid,POINT (11.624140080000075 10.225336690000065)
1079,756,Burashika Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (820142.8511079799 1122476.7583360574),Valid,POINT (11.921207000101276 10.14133299976055)
1071,757,Gundiri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (822580.6290712815 1123702.6224320116),Valid,POINT (11.943532000270068 10.152207000148906)
441,758,Sungwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (851562.8199960066 1143524.026587004),Valid,POINT (12.209518999995737 10.328719000080525)
1431,759,Muzidala Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (912680.9370401613 1212701.8270655083),Valid,POINT (12.774386999797002 10.94698700016454)
751,760,Molai Missionary Hospital,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Jere,Borno,POINT (948214.552073828 1303468.1337839465),Valid,POINT (13.110544000199866 11.7615509996225)
70912,761,Bulabulin Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953228.1807993271 1311666.542832453),Valid,POINT (13.157555000141599 11.834831000412803)
483,762,Madamari Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Magumeri,Borno,POINT (911817.0766396737 1361687.0622681554),Valid,POINT (12.784624999753191 12.291508999704092)
20042,763,Banki Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1063109.5114262183 1249250.928279965),Valid,POINT (14.15264527 11.256116560000002)
46511,764,Sunni Hospital,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952970.5676994675 1314330.126919193),Valid,POINT (13.15556 11.858889999999997)
1548,765,Yimirmgza Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (936275.4778573073 1194699.9445249015),Valid,POINT (12.987669999999998 10.781829999999998)
18132,766,Shaffa Eyn Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (864471.551815598 1163733.8573185047),Valid,POINT (12.32917 10.51)
11,767,Tuba Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Jere,Borno,POINT (951533.9615702285 1345810.0082410935),Invalid,POINT (13.1467505 12.1430188)
27743,768,Fariya Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955781.065835274 1315317.9764456726),Valid,POINT (13.18143167 11.86742)
1230,771,Rann Idp Camp Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1099328.7413198478 1354420.9456079688),Valid,POINT (14.501810000000003 12.19691)
66241,772,Mogcolis Camp Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952282.6953666662 1313283.100811834),Valid,POINT (13.14911814 11.84953878)
17680,773,Cbn Quaters Camp Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Maiduguri,Borno,POINT (950430.3863258271 1307036.0852802352),Valid,POINT (13.13131 11.793439999999999)
8207,774,Eyn Primary Health Care Mbalala,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Chibok,Borno,POINT (924423.0695532908 1193111.9706154098),Valid,POINT (12.879327000098781 10.7688770001472)
14689,775,Rumirgo Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (941329.1469029202 1174861.9198643772),Valid,POINT (13.031415970268355 10.60226017424303)
27673,776,Damboa Maternal and Child Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Damboa,Borno,POINT (910534.1402507247 1236683.5138491038),Valid,POINT (12.75754 11.163650000000002)
18039,777,Shehu Masta Icrc Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Dikwa,Borno,POINT (1034218.6913339657 1335338.375275184),Valid,POINT (13.902582478907728 12.036264295961002)
10766,778,High Court Clinic,Functional,Primary,Private Non Profit,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012952.5460467468 1227844.1759514615),Valid,POINT (13.691709899512073 11.070771425734387)
10797,779,1000 Estate Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (942342.891569528 1313500.4087240999),Valid,POINT (13.05812373804412 11.852820017390364)
11386,780,777 Housing Estate Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (942654.2927309433 1311997.8446937462),Valid,POINT (13.060775021737957 11.83922497826204)
25380,781,Madinatu Idp Camp,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955576.919450778 1316463.5596948473),Valid,POINT (13.179720000000001 11.87778)
10389,782,20 Housing Unit IDP Clinic,Functional,Primary,,2020-06-24T11:38:22,Gwoza,Borno,POINT (1012365.115002543 1228045.9103780566),Valid,POINT (13.686378460793541 11.072673164058513)
33100,783,Central Primary School IDP Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Damboa,Borno,POINT (910368.8420266858 1236517.1902077352),Valid,POINT (12.75601 11.162168000000001)
21545,784,Elmiskin IDP Clinic Camp,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Jere,Borno,POINT (955385.01124727 1316844.0743795794),Valid,POINT (13.178014999999998 11.881238)
13731,785,Garu Primary Health Care Center,Functional,Primary Health Center,,2020-06-24T11:38:22,Chibok,Borno,POINT (921057.6716853352 1203669.9036299645),Valid,POINT (12.849831699999998 10.864530649999999)
1585,786,Gula Dispensary,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Hawul,Borno,POINT (869330.512622237 1162816.6087430276),Valid,POINT (12.37341 10.50125)
1303,787,Gur Garubula Dispensary,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Biu,Borno,POINT (874070.6380000203 1198851.5249893798),Valid,POINT (12.42028809 10.82611084)
8438,788,Jakana Primary Health Clinic,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Konduga,Borno,POINT (911210.98310961 1311800.6112394296),Valid,POINT (12.772753000000002 11.841430999999996)
22276,789,Kuda Health Clinic,Functional,Primary,,2020-06-24T11:38:22,Nganzai,Borno,POINT (957665.3757397652 1384962.7701373918),Valid,POINT (13.20858856547505 12.495275789029622)
22570,790,Muna IDP Camp Clinic A,Functional,Primary Health Clinic,,2020-06-24T11:38:22,Jere,Borno,POINT (963263.0804057071 1315873.0463690653),Valid,POINT (13.25002 11.871403000000003)
700,791,Tashan Itache Health Clinic,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Bayo,Borno,POINT (789407.3281385193 1147407.1151512696),Valid,POINT (11.64284 10.368948)
448,792,Tobule Dispensary,Functional,Health Post Dispensary,,2020-06-24T11:38:22,Bayo,Borno,POINT (801737.1793408602 1141282.0670994322),Valid,POINT (11.754864 10.312669999999999)
7686,793,Zadawa Health Center,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (926249.8191256257 1179621.3769465769),Valid,POINT (12.894440000000001 10.646939999999997)
91168,794,Nana Kashim Clinic,Functional,Unknown,,2020-06-24T11:38:22,Maiduguri,Borno,POINT (952747.8453548133 1312923.189669824),Valid,POINT (13.15332833 11.846229999999998)
7536,795,Pulka Primary Health Center,Functional,Unknown,Primary Health Center,2020-06-24T11:38:22,Gwoza,Borno,POINT (1022695.4194217985 1246480.9334390832),Valid,POINT (13.783361669999998 11.237333329999997)
24375,796,GSSSS Bama IDP Camp Clinic,Functional,Unknown,,2020-06-24T11:38:22,Bama,Borno,POINT (1011686.1459067971 1276325.5273702424),Valid,POINT (13.687254999999999 11.507935000000002)
2339,797,Kuva Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (792784.3911399806 1170400.3410687908),Valid,POINT (11.675438 10.576423)
267,798,Goni Abatchari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gubio,Borno,POINT (913248.2694516347 1376655.5607429733),Valid,POINT (12.79971 12.426389999999998)
31355,799,505 Housing Estate Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (957995.9307330966 1313580.4349301017),Valid,POINT (13.201473 11.851447999999998)
20737,800,Babadidi Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kwaya Kusar,Borno,POINT (811604.9357670383 1162966.934372255),Valid,POINT (11.84665833 10.507771669999999)
18336,801,Herwa Peace Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (951390.1766960432 1314491.7206213942),Valid,POINT (13.14111 11.860559999999998)
3211,802,Gunda Comprensive Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (811731.2767288322 1193794.2519797035),Valid,POINT (11.850399999999999 10.786223329999997)
26352,803,Ngarannam Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (952056.1441003217 1316625.891278861),Valid,POINT (13.147499999999999 11.87972)
6908,804,Magumeri General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Magumeri,Borno,POINT (916216.9822182956 1342737.457235803),Valid,POINT (12.822541390000001 12.11996467)
17465,805,Shani Mch Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Shani,Borno,POINT (835789.7169182261 1131091.1755072232),Valid,POINT (12.064585 10.217832999999999)
23437,806,Fori Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Jere,Borno,POINT (955485.0191268258 1307804.7456397885),Valid,POINT (13.17769013 11.799695979999997)
20047,807,Ngamdu Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (855766.9701583411 1302272.2821067562),Valid,POINT (12.26367188 11.76171875)
53750,808,Fatima Ali Sheriff Primary Health Care Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (947100.5270040387 1310804.0931345865),Valid,POINT (13.101329999999999 11.827869999999999)
1201,809,Lajada Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (845863.3699572999 1138369.440578304),Valid,POINT (12.15707833 10.28268333)
21324,810,Nakowa Specialist Hospital,Functional,Tertiary,Specialist Hospital,2020-07-04T13:49:18,Maiduguri,Borno,POINT (953700.9086079932 1310192.4892477933),Valid,POINT (13.161682129999999 11.821472169999996)
